time,Volume,Vol Snow,Vol Black Ice,Vol White Ice,Tot Inflow Vol,Tot Outflow Vol,Overflow Vol,Evaporation,Rain,Snowfall,Lake Level,Surface Area,Black Ice,Snow Height,Snow Density,White Ice,Albedo,Max Temp,Min Temp,Surface Temp,Daily Qsw,Daily Qe,Daily Qh,Daily Qlw,Light,Benthic Light,H_s,L,T,LakeNumber,Max dT/dz,CD
2000-03-31 24:00:00,3872699999.999996,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,   41.000000,162000000.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.080430,   17.651924,   17.651924,   17.651924,    0.000000,    0.000000,    0.000000,-5604273548780058.000000,    0.000000,  100.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.279613,-9999.000000
2000-04-01 24:00:00,3872383304.584339,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-315137.591076,    0.000000,    0.000000,   40.998055,161998070.798068,    0.000000,    0.000000,    0.000000,    0.000000,    0.080086,   17.865528,   17.561576,   17.865528,3037039088340658.500000,-773032510910080.000000,337390565297663.500000,-1108225535778585.100000,    0.000000,  100.000000,    0.282668,    6.876701,    2.098677,   29.743183,    0.417847,-9999.000000
2000-04-02 24:00:00,3872101240.755708,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-280673.162566,    0.000000,    0.000000,   40.996322,161996352.560113,    0.000000,    0.000000,    0.000000,    0.000000,    0.079742,   18.019104,   17.486900,   18.019104,3148963609813030.000000,-688491267774096.870000,322804042024285.940000,-774816452364466.000000,    0.000000,  100.000000,    0.188689,    4.676479,    1.730673,   68.741931,    0.279612,-9999.000000
2000-04-03 24:00:00,3872015064.110833,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-85751.145946,    0.000000,    0.000000,   40.995793,161995827.600983,    0.000000,    0.000000,    0.000000,    0.000000,    0.079398,   18.123125,   17.412771,   18.123125,3128095542735039.500000,-210347561004483.970000,103377569734838.620000,-1472997324649311.700000,    0.000000,  100.000000,    0.028874,    0.791406,    0.711959,  835.795499,    0.279612,-9999.000000
2000-04-04 24:00:00,3871925119.735162,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-89499.975386,    0.000000,    0.000000,   40.995240,161995279.690105,    0.000000,    0.000000,    0.000000,    0.000000,    0.079054,   18.256806,   17.336667,   18.256806,2979653042097719.500000,-219543439621398.750000,58186782272823.852000,-1598240303270385.000000,    0.000000,  100.000000,    0.054251,    1.422263,    0.954433,  387.516873,    0.279612,-9999.000000
2000-04-05 24:00:00,3871883012.645879,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-41898.936013,    0.000000,    0.000000,   40.994982,161995023.187882,    0.000000,    0.000000,    0.000000,    0.000000,    0.078710,   18.891779,   17.259092,   18.891779,3144752065165528.000000,-102778090040344.750000,34190366145409.656000,-1454664070305514.700000,    0.000000,  100.000000,    0.067001,    1.734955,    1.054143,  166.663914,    0.279612,-9999.000000
2000-04-06 24:00:00,3871781849.415978,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-100662.893613,    0.000000,    0.000000,   40.994360,161994406.935518,    0.000000,    0.000000,    0.000000,    0.000000,    0.078366,   18.872232,   17.187505,   18.872232,3109153660278583.000000,-246926078032256.840000,163073582153469.440000,-1177018495809824.200000,    0.000000,  100.000000,    0.464923,   10.968818,    2.650546,   13.093466,    0.279612,-9999.000000
2000-04-07 24:00:00,3871241872.783258,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-537299.655968,    0.000000,    0.000000,   40.991043,161991117.579525,    0.000000,    0.000000,    0.000000,    0.000000,    0.078024,   18.574098,   17.146973,   18.574098,3921240399707573.500000,-1317996056089818.700000,306700567416539.440000,-1434194994543617.000000,    0.000000,  100.000000,    0.060508,    1.575886,    1.004657,  414.978407,    0.279612,-9999.000000
2000-04-08 24:00:00,3870959311.360253,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-282452.154076, 1295.923680,    0.000000,   40.989308,161989396.310393,    0.000000,    0.000000,    0.000000,    0.000000,    0.077681,   18.619773,   17.080550,   18.619773,3115975153821921.000000,-692855133947699.370000,77695172594916.719000,-1670702689961336.200000,    0.000000,  100.000000,    0.004883,    0.150406,    0.310376, 6251.216571,    0.279612,-9999.000000
2000-04-09 24:00:00,3870511774.944369,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-460207.708205,14902.938811,    0.000000,   40.986559,161986670.069104,    0.000000,    0.000000,    0.000000,    0.000000,    0.077340,   18.503032,   17.037368,   18.503032,2344329098412330.500000,-1128889508225926.000000,4809233600345.242200,-1733482236050613.000000,    0.000000,  100.000000,    0.057110,    1.492502,    0.977716,  515.698020,    0.279612,-9999.000000
2000-04-10 24:00:00,3870112770.435325,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-397008.450940,    0.000000,    0.000000,   40.984108,161984239.467864,    0.000000,    0.000000,    0.000000,    0.000000,    0.076999,   18.576117,   16.969945,   18.576117,3777515538004806.000000,-973861730154835.000000,-23303868895688.727000,-1794141631496963.200000,    0.000000,  100.000000,    0.039154,    1.049159,    0.819740,  784.906833,    0.279612,-9999.000000
2000-04-11 24:00:00,3869980898.445389,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-131210.936711,    0.000000,    0.000000,   40.983298,161983436.148064,    0.000000,    0.000000,    0.000000,    0.000000,    0.076659,   19.430157,   16.897139,   19.430157,3358833596996390.000000,-321860427752878.940000,-11786750593209.324000,-1582158400229730.200000,    0.000000,  100.000000,    0.028820,    0.790029,    0.711339,  490.504030,    0.279612,-9999.000000
2000-04-12 24:00:00,3869867974.303856,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-112357.553757,    0.000000,    0.000000,   40.982604,161982748.252183,    0.000000,    0.000000,    0.000000,    0.000000,    0.076320,   19.697479,   16.825287,   19.697479,2786225252010390.000000,-275613079365285.090000,104072419868210.330000,-998023153846921.250000,    0.000000,  100.000000,    0.006479,    0.196969,    0.355185, 2277.727339,    0.279612,-9999.000000
2000-04-13 24:00:00,3869621838.331718,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-244899.404921,    0.000000,    0.000000,   40.981092,161981248.874644,    0.000000,    0.000000,    0.000000,    0.000000,    0.075982,   18.826887,   16.784626,   18.826887,2450845569172391.500000,-600738240271339.870000,294446223576557.440000,-1181989941003822.500000,    0.000000,  100.000000,    0.085243,    2.180509,    1.181774,  330.160882,    0.279612,-9999.000000
2000-04-14 24:00:00,3869367421.253415,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-253136.524252,    0.000000,    0.000000,   40.979530,161979699.051391,    0.000000,    0.000000,    0.000000,    0.000000,    0.075646,   18.920163,   16.731713,   18.920163,3482358462129874.000000,-620943893991322.120000,207685113180083.440000,-1522942435951961.000000,    0.000000,  100.000000,    0.011694,    0.343101,    0.468777, 3130.572801,    0.279612,-9999.000000
2000-04-15 24:00:00,3869240595.960975,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-126186.020133,    0.000000,    0.000000,   40.978751,161978926.474375,    0.000000,    0.000000,    0.000000,    0.000000,    0.075310,   19.233662,   16.665823,   19.233662,3827535788993312.000000,-309534307387060.190000,59909170695683.437000,-1586548937551262.000000,    0.000000,  100.000000,    0.053425,    1.401946,    0.947591,  481.935700,    0.279612,-9999.000000
2000-04-16 24:00:00,3869112084.704633,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-127862.887009,    0.000000,    0.000000,   40.977961,161978143.627034,    0.000000,    0.000000,    0.000000,    0.000000,    0.074976,   19.602730,   16.600412,   19.602730,3930593320865719.500000,-313647661832703.440000,121596205054254.980000,-1427095396687762.000000,    0.000000,  100.000000,    0.014842,    0.428108,    0.523639, 1684.156379,    0.279612,-9999.000000
2000-04-17 24:00:00,3868960588.839634,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-150730.723841,    0.000000,    0.000000,   40.977031,161977220.765189,    0.000000,    0.000000,    0.000000,    0.000000,    0.074644,   20.344477,   16.533295,   20.344477,3366272432094802.000000,-369742465581202.000000,92627351861525.109000,-1263377347374214.500000,    0.000000,  100.000000,    0.046165,    1.222958,    0.885037,  344.948871,    0.279612,-9999.000000
2000-04-18 24:00:00,3868772220.657892,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,    0.000000,-187415.631799,    0.000000,    0.000000,   40.975874,161976073.289595,    0.000000,    0.000000,    0.000000,    0.000000,    0.074313,   20.339906,   16.468179,   20.339906,2751485042900118.000000,-459730544803804.750000,181446544549074.440000,-1073282266556922.100000,    0.000000,  100.000000,    0.065777,    1.704989,    1.045000,  248.547620,    0.279612,-9999.000000
